statistic_yyy,site_id,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
2021,Songshan District ,165416,1406,623,474,239,11781,8957,1807,1556,26851,31461,5419,4639,4088,5883,508,463,4849,5933,228,206,4087,5716,2294,2186,6147,9917,1209,960,137,234,2075,3892,577,743,50,120,10,15,1619,4730,344,534,19,112,31,287
2021,Xinyi District ,184417,1162,544,499,296,10886,7930,2136,1613,26907,30582,7197,6002,5005,6316,337,313,5443,5838,96,72,5798,6798,2269,2077,8728,11767,1468,1105,179,290,3913,5652,855,974,124,190,80,124,3078,7808,300,659,53,309,60,585
2021,Daan District ,247586,4015,1734,1000,549,20409,16886,2860,2544,40126,48734,7792,7031,5005,8073,685,555,6139,8252,275,265,5833,8839,3535,3459,7301,12133,1527,1181,169,238,2782,5161,1141,1231,66,158,6,21,1977,5862,514,825,65,162,49,422
2021,Zhongshan District ,190530,1384,570,415,252,11078,8420,1877,1646,27709,32595,5925,5236,4278,6278,721,582,5886,6473,305,255,5849,7482,2525,2476,8793,13245,1870,1526,171,248,3850,6136,910,1001,113,207,15,35,2748,7312,508,891,57,199,57,421
2021,Zhongzheng District ,126290,1651,771,510,268,9509,7742,1549,1374,18978,22795,4043,3609,2829,4213,424,397,3283,3737,185,123,3267,4058,1949,1857,4953,6807,1133,760,133,190,2246,3296,524,541,31,99,11,15,1399,3668,334,484,32,109,55,349
2021,Datong District,105749,489,205,199,105,4645,3235,909,793,13023,15233,3337,2962,2731,3549,531,351,3239,2799,196,135,4025,3879,1773,1418,6611,7904,1520,1070,157,210,3464,3674,742,831,147,191,34,16,2509,5438,317,548,37,146,55,367
2021,Wanhua District ,159764,632,258,268,124,5917,4023,1333,1046,17934,19666,4971,4212,4049,4757,843,669,4550,3585,336,205,6103,5868,2307,1787,11154,12140,2888,1913,243,351,6767,7542,1239,1134,153,190,42,36,5097,10263,544,1096,77,376,121,955
2021,Wenshan District ,227771,2298,1049,676,394,14480,10927,2773,2394,31803,38023,8255,6912,6219,8292,984,752,6027,6516,340,240,6051,7161,3708,3521,11410,14542,2880,1724,159,382,4615,6158,836,880,62,138,15,17,3383,8363,332,844,75,290,107,764
2021,Nangang District ,101694,727,291,268,122,5175,3610,929,764,13018,15160,3486,2939,2908,3465,529,395,2737,2630,157,118,2852,2958,1374,1203,6377,7274,1728,1090,111,228,3037,3246,656,578,37,44,8,6,2560,5354,256,520,38,160,51,520
2021,Neihu District ,238100,1385,570,575,294,14417,10350,2516,2034,34998,41456,8009,6823,6005,8387,904,736,7381,8172,362,294,6332,7275,3411,3135,11976,16146,2728,1715,312,581,4907,6317,1031,979,215,385,53,31,3892,8570,478,947,48,227,73,668
2021,Shilin District ,237570,1504,627,516,251,11837,8751,2198,1915,31986,36364,7835,6620,6119,7775,1106,803,6789,6703,381,282,7570,8083,3550,3040,13071,16620,3039,2092,323,411,6999,7859,1391,1299,106,154,35,23,6164,12136,657,1267,46,284,115,874
2021,Beitou District ,213066,1506,636,545,296,10509,7625,2096,1768,27851,32749,6727,6072,5411,7036,1088,799,6286,6072,410,298,6008,6555,3231,2783,12181,15341,2899,1969,498,560,6497,7211,1289,1176,73,125,30,22,4843,10808,715,1199,69,241,137,826